epoch	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	R	M1	0.009636945	1.036856317	0.024678024	-0.080077926	expectation	114	M1-S1
plan	R	M1	0.023727106	0.588524679	0.030858542	11.18319614	expectation	115	M1-S1
plan	R	M1	0.034110957	1.391512628	0.03600648	2.358545923	uncertainty	102	M1-S1
plan	R	M1	0.006062551	1.079673698	0.066152841	-0.591662184	uncertainty	103	M1-S1
plan	R	M1	3.01E-08	0.920030004	0.00891127	-1.000000154	uncertainty	104	M1-S1
plan	R	M1	6.95E-17	0.597668226	6.95E-17	-1	uncertainty	105	M1-S1
plan	R	M1	7.99E-45	0.869675127	1.73E-22	-1	uncertainty	106	M1-S1
plan	R	M1	1.23E-176	0.918201078	0.053944293	-1	uncertainty	107	M1-S1
plan	R	M1	3.39E-23	0.883282184	0.001243491	-1	uncertainty	108	M1-S1
plan	R	M1	0.000928466	1.098333587	0.023428401	-0.996750299	uncertainty	109	M1-S1
plan	R	M1	0.027733887	1.301032649	0.027733888	3.920619637	uncertainty	110	M1-S1
plan	R	M1	0.015133866	0.821860659	0.015133866	3.130954614	uncertainty	111	M1-S1
plan	R	M1	0.026756974	1.256485185	0.038426101	3.777173483	uncertainty	112	M1-S1
plan	R	M1	4.48E-17	1.473264901	0.047370717	-1	uncertainty	113	M1-S1
plan	R	M1	0.015041079	1.036856317	0.024678024	1.171705278	uncertainty	114	M1-S1
plan	R	M1	0.007131436	0.588524679	0.030858542	0.302142521	uncertainty	115	M1-S1
plan	R	S1	1.23E-15	1.464409102	0.009641881	-1	expectation	102	M1-S1
plan	R	S1	0.047380078	1.335904201	0.055613508	25.85908874	expectation	103	M1-S1
plan	R	S1	0.015542896	1.042996239	0.015542896	4.03987169	expectation	104	M1-S1
plan	R	S1	0.000789431	0.631744104	0.000789431	-0.961127857	expectation	105	M1-S1
plan	R	S1	0.010157666	1.006085763	0.016238894	1.258099204	expectation	106	M1-S1
plan	R	S1	0.01843071	1.045700077	0.01843071	6.564257851	expectation	107	M1-S1
plan	R	S1	0.001260538	1.086774941	0.001260538	-0.971229514	expectation	108	M1-S1
plan	R	S1	0.022467934	1.515308526	0.022467934	1.64000172	expectation	109	M1-S1
plan	R	S1	7.96E-13	1.572539352	0.004459643	-1	expectation	110	M1-S1
plan	R	S1	0.00674727	0.833012975	0.013041417	0.5883506	expectation	111	M1-S1
plan	R	S1	0.010281443	1.445131708	0.045684056	0.231291936	expectation	112	M1-S1
plan	R	S1	0.035899596	1.843282101	0.035899596	1.509707636	expectation	113	M1-S1
plan	R	S1	0.037569447	1.177809095	0.062266371	19.65632562	expectation	114	M1-S1
plan	R	S1	0.011387477	0.674589078	0.01389694	5.211309991	expectation	115	M1-S1
plan	R	S1	0.009641881	1.464409102	0.009641881	-0.46369856	uncertainty	102	M1-S1
plan	R	S1	0.00823343	1.335904201	0.055613508	-0.031192285	uncertainty	103	M1-S1
plan	R	S1	2.29E-11	1.042996239	0.015542896	-1	uncertainty	104	M1-S1
plan	R	S1	3.29E-13	0.631744104	0.000789431	-1	uncertainty	105	M1-S1
plan	R	S1	0.006081228	1.006085763	0.016238894	-0.170732595	uncertainty	106	M1-S1
plan	R	S1	1.27E-266	1.045700077	0.01843071	-1	uncertainty	107	M1-S1
