epoch	roi	weight	monkey	component	session	noise
exec	S1	0.0015711885444284397	M	sensory input	5	0.14628819850313818
exec	S1	0.0020891908847191503	M	expectation	5	0.14628819850313818
exec	S1	0.006944006480228859	M	surprise	5	0.14628819850313818
exec	S1	0.0021074032733118526	M	sensory input	9	0.14936522857372544
exec	S1	0.0011787539060120207	M	expectation	9	0.14936522857372544
exec	S1	0.0037942119315237145	M	surprise	9	0.14936522857372544
exec	S1	0.0009391514853050638	M	sensory input	11	0.15334697196500724
exec	S1	2.330873328544623e-09	M	expectation	11	0.15334697196500724
exec	S1	0.0030260630615994454	M	surprise	11	0.15334697196500724
exec	S1	0.0021023968480487834	M	sensory input	15	0.16221598437556625
exec	S1	0.0018546419368569494	M	expectation	15	0.16221598437556625
exec	S1	0.00507681550697457	M	surprise	15	0.16221598437556625
exec	S1	0.0015604628853609127	M	sensory input	16	0.1527919758704543
exec	S1	0.0018330426376470443	M	expectation	16	0.1527919758704543
exec	S1	0.00975344441334985	M	surprise	16	0.1527919758704543
exec	S1	0.0007623504495571857	M	sensory input	26	0.19490494352330134
exec	S1	0.000752537240492691	M	expectation	26	0.19490494352330134
exec	S1	0.0035853059070775056	M	surprise	26	0.19490494352330134
exec	S1	0.0024272078829295778	M	sensory input	27	0.1647014704563
exec	S1	0.005137097664872261	M	expectation	27	0.1647014704563
exec	S1	0.003297585506805845	M	surprise	27	0.1647014704563
exec	S1	0.0012017374441685522	M	sensory input	28	0.17110102188369003
