epoch	method	glm	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	ols	12	L	PMd	0.010657522586881279	1.4807851314685117	0.010657658728695828	-0.07309428687089436	uncertainty	102	premotor-parietal
plan	ols	12	L	PMd	0.019329938362439802	1.3299673941696464	0.033273114034238535	5.22448494181164	uncertainty	103	premotor-parietal
plan	ols	12	L	PMd	0.05649678156935864	1.1327936836870849	0.05649678156937755	66.77265270891999	uncertainty	104	premotor-parietal
plan	ols	12	L	PMd	0.029396150858542247	0.7887082226577232	0.029396150858542247	33.063501623102084	uncertainty	105	premotor-parietal
plan	ols	12	L	PMd	0.016658482302546348	1.2070304149201692	0.02302674762346167	5.0135819118221185	uncertainty	106	premotor-parietal
plan	ols	12	L	PMd	0.03249844152635495	1.4191324717569518	0.0324984415351091	16.451473555858406	uncertainty	107	premotor-parietal
plan	ols	12	L	PMd	0.018257664658817865	1.2775357103474339	0.019891189117275908	4.695997143731624	uncertainty	108	premotor-parietal
plan	ols	12	L	PMd	0.031009725849332963	1.7671779039041091	0.06403783564401372	3.9795633397427266	uncertainty	109	premotor-parietal
plan	ols	12	L	PMd	0.006355103142654322	1.9710454900794752	0.03519717637597786	-0.6165979018684185	uncertainty	110	premotor-parietal
plan	ols	12	L	PMd	0.024319502567854746	0.9399851661820604	0.026240840177812256	20.337366977903155	uncertainty	111	premotor-parietal
plan	ols	12	L	PMd	0.0736457284688266	1.6833877931831813	0.10555207455184204	52.3581195234051	uncertainty	112	premotor-parietal
plan	ols	12	L	PMd	0.04537738582363967	2.422932574749549	0.14563145724288948	3.1969744557872444	uncertainty	113	premotor-parietal
plan	ols	12	L	PMd	0.10765928063941987	1.2954067699866065	0.14652714380166765	162.62726456869325	uncertainty	114	premotor-parietal
plan	ols	12	L	PMd	0.005306462267228308	0.8554599042578901	0.012199314713690027	0.31431307054185353	uncertainty	115	premotor-parietal
plan	ols	12	L	PMv	1.8186798446006682e-08	1.5677440415995363	0.02070232084632605	-1.0000013949846336	expectation	102	premotor-parietal
plan	ols	12	L	PMv	0.0011834545651105547	1.1459289505525283	0.03169867526946366	-0.986940633688704	expectation	103	premotor-parietal
plan	ols	12	L	PMv	3.525154140664245e-16	1.0925179763429964	0.02833472734332931	-1.000000000018178	expectation	104	premotor-parietal
plan	ols	12	L	PMv	1.7923209008552883e-17	0.7494321040106295	0.023243891560516865	-1.0000000000054559	expectation	105	premotor-parietal
plan	ols	12	L	PMv	0.021702659758969175	0.9973714612910178	0.021702659758969175	5.340417266386794	expectation	106	premotor-parietal
plan	ols	12	L	PMv	1.782082912931907e-11	1.2471657400246854	0.014034282471869683	-0.9999999999915974	expectation	107	premotor-parietal
plan	ols	12	L	PMv	1.9240471094126617e-48	1.0123671125019886	0.007935133592167748	-1.0000000000059575	expectation	108	premotor-parietal
plan	ols	12	L	PMv	0.001008490573704051	1.2597653975237644	0.011839925730217284	-0.9973463692387818	expectation	109	premotor-parietal
plan	ols	12	L	PMv	2.453322702531512e-16	1.4838171092001835	0.003461730869456615	-0.9999999999994433	expectation	110	premotor-parietal
plan	ols	12	L	PMv	0.0036499690099958573	0.9205493426338017	0.009037557795531281	-0.8087315599460352	expectation	111	premotor-parietal
plan	ols	12	L	PMv	0.016856250568745033	1.3746080470440944	0.07208419600474941	0.8598309103924697	expectation	112	premotor-parietal
plan	ols	12	L	PMv	0.04410820414979824	1.329888344387744	0.050785814859123896	3.2914348129696993	expectation	113	premotor-parietal
plan	ols	12	L	PMv	0.01397882284167136	1.1836932742715238	0.057733996818837736	0.7455337448153325	expectation	114	premotor-parietal
plan	ols	12	L	PMv	0.018319837188395947	0.7006824548967368	0.021954738399708133	6.785885612364594	expectation	115	premotor-parietal
plan	ols	12	L	PMv	0.020702302659527605	1.5677440415995363	0.02070232084632605	0.3436327374450362	uncertainty	102	premotor-parietal
plan	ols	12	L	PMv	0.030515220704353106	1.1459289505525283	0.03169867526946366	6.417608687598418	uncertainty	103	premotor-parietal
plan	ols	12	L	PMv	0.028334727343328956	1.0925179763429964	0.02833472734332931	6.118993024109282	uncertainty	104	premotor-parietal
plan	ols	12	L	PMv	0.023243891560516847	0.7494321040106295	0.023243891560516865	9.110763382689866	uncertainty	105	premotor-parietal
plan	ols	12	L	PMv	2.607403717664398e-28	0.9973714612910178	0.021702659758969175	-1.000000000007276	uncertainty	106	premotor-parietal
plan	ols	12	L	PMv	0.014034282454048853	1.2471657400246854	0.014034282471869683	0.6402813878140947	uncertainty	107	premotor-parietal
plan	ols	12	L	PMv	0.007935133592167748	1.0123671125019886	0.007935133592167748	-0.36644627977175603	uncertainty	108	premotor-parietal
plan	ols	12	L	PMv	0.010831435156513233	1.2597653975237644	0.011839925730217284	-0.5113850971716174	uncertainty	109	premotor-parietal
plan	ols	12	L	PMv	0.0034617308694563694	1.4838171092001835	0.003461730869456615	-0.9330070349526317	uncertainty	110	premotor-parietal
plan	ols	12	L	PMv	0.005387588785535424	0.9205493426338017	0.009037557795531281	-0.5780063983838344	uncertainty	111	premotor-parietal
plan	ols	12	L	PMv	0.055227945436004386	1.3746080470440944	0.07208419600474941	15.93846001830971	uncertainty	112	premotor-parietal
