cluster	participant_id	component	Hem	glm	weight	noise	weight_sum	BF	ratio	epoch
premotor-parietal	106	expectation	L	12.0	0.017588453303308348	1.0466840680409455	0.023359114462798473	6.8801733669792995	0.7529589073815092	plan
premotor-parietal	106	expectation	R	12.0	0.00930049460338157	0.9622477350587388	0.016985639321597117	1.3042706353215539	0.5475504587899767	plan
premotor-parietal	107	expectation	L	12.0	0.025870563713517647	1.3117639075669056	0.050536749925192595	11.489217772594609	0.5119158582974319	plan
premotor-parietal	107	expectation	R	12.0	0.022373035602391275	1.101863244248636	0.027010835094087027	10.410636776947552	0.828298552209109	plan
premotor-parietal	108	expectation	L	12.0	0.009540050891373124	1.10569111668469	0.01919876365418205	0.8968927363609118	0.4969096481009611	plan
premotor-parietal	108	expectation	R	12.0	0.007882893756370038	1.0568382898509652	0.01286244984977807	0.40885356644523424	0.6128609905916211	plan
premotor-parietal	109	expectation	L	12.0	0.016547602849958674	1.4919616454153974	0.052301744669068874	0.9875179390219341	0.31638720571677004	plan
premotor-parietal	109	expectation	R	12.0	0.016729904575319872	1.3910953617287347	0.04208790146534546	0.9186151449452418	0.39749913853735425	plan
premotor-parietal	110	expectation	L	12.0	0.012740143048886172	1.7633104129913595	0.021580480382140704	1.391006419553171	0.5903549329434526	plan
premotor-parietal	110	expectation	R	12.0	0.005179873273909538	1.554918828386798	0.012627298295430084	-0.50918656831892	0.41021231562924065	plan
premotor-parietal	111	expectation	L	12.0	0.004395604681243182	0.9069004166611199	0.01773313591933548	-0.05040435403561281	0.2478752038690684	plan
premotor-parietal	111	expectation	R	12.0	0.004032763732102836	0.8838265064571915	0.013471005891640433	-0.1818799495565991	0.29936619169659834	plan
premotor-parietal	112	expectation	L	12.0	0.022056840844552266	1.4651204421021602	0.0760240405619815	4.487802143812303	0.2901298152729672	plan
premotor-parietal	112	expectation	R	12.0	0.023388791912352845	1.4585060675314339	0.06299716445025387	4.720586071174041	0.37126737554706857	plan
premotor-parietal	113	expectation	L	12.0	0.060148217825023574	1.9107452645167293	0.06969718111631568	8.199549615916455	0.8629935509822685	plan
premotor-parietal	113	expectation	R	12.0	0.03499985983838821	1.8372476864335539	0.036863883521882246	1.827998835976759	0.9494349616641025	plan
premotor-parietal	114	expectation	L	12.0	0.02543523559371983	1.25448168678303	0.1024297743357119	11.524649151655193	0.248318770188405	plan
premotor-parietal	114	expectation	R	12.0	0.014189503394935788	1.2051700565544876	0.04943221579476691	3.3391609256644585	0.2870497137706286	plan
premotor-parietal	115	expectation	L	12.0	0.016311494496002867	0.8037488128198506	0.020562486391974746	8.742114825565377	0.7932646949917993	plan
premotor-parietal	115	expectation	R	12.0	0.015520267368238593	0.6962631375333649	0.018611195080905068	7.73900902984739	0.8339210513226127	plan
M1-S1	102	sensory input	L	12.0	0.0942311805283018	3.771679489983792	0.2452275179791059	2.6879400506377964	0.3842602221188348	exec
M1-S1	102	sensory input	R	12.0	0.066967133366405	3.6184248192255932	0.16511245045863582	1.0993593237623525	0.40558500089114535	exec
M1-S1	103	sensory input	L	12.0	0.6998588135135017	3.0417148200106627	0.8246421308272972	287.9970113663185	0.8486818552568852	exec
M1-S1	103	sensory input	R	12.0	0.14830138101654533	2.9356703050390607	0.2105222588817108	30.41441032651651	0.704445134706034	exec
M1-S1	104	sensory input	L	12.0	0.890256376422758	2.606282785560982	1.050020923024821	313.41653416062024	0.8478463208696589	exec
M1-S1	104	sensory input	R	12.0	0.028461104617973673	2.4224063277001244	0.09266166668310627	0.2885292342071003	0.3071507953262684	exec
M1-S1	105	sensory input	L	12.0	0.14472893906304918	1.7526159869883058	0.20916626966005586	61.349874190877934	0.6919324960868096	exec
M1-S1	105	sensory input	R	12.0	3.3659018318780786e-08	1.7538297563562142	0.04255701721525222	-0.9999981142734462	7.909158235534788e-07	exec
M1-S1	106	sensory input	L	12.0	0.42542243838148786	2.5421586791371302	0.5054868359825062	183.78064461874686	0.8416093320305789	exec
M1-S1	106	sensory input	R	12.0	3.0671750995123534e-08	2.3959116635849447	0.04795716498728043	-0.9999878430587896	6.395655582071738e-07	exec
M1-S1	107	sensory input	L	12.0	0.27905302128807546	2.7371086856361546	0.35142963580764175	100.02640607068348	0.7940509076497398	exec
M1-S1	107	sensory input	R	12.0	0.04251123962161506	2.336278156793239	0.1029715069436703	3.2283897191240922	0.41284468765588206	exec
M1-S1	108	sensory input	L	12.0	0.1969894013107014	2.8848571520306594	0.45747998451896954	50.787709716954275	0.4305967648351469	exec
