102	103	104	105	106	107	108	109	110	111	112	113	114	115	time	GoNogo	kind	Hem	roi
315.74713841503535	294.508129643204	326.2072505125	281.9568551201567	302.0184626837787	275.4719547885347	288.0971264678196	306.5847592854649	239.39364229375096	247.4879633729912	260.53090055225323	301.1791168358522	320.52658597515295	208.96802163853047	11.0	go	raw	L	S1
315.39086796487237	295.03703343849156	326.2154299733276	282.96565273132484	302.91762325341557	275.91412965702915	288.1704081811056	307.5277202959828	239.80707885132963	248.29351950403168	261.7491485052118	301.8298391985998	321.5548756322748	209.08325164008144	12.0	go	raw	L	S1
315.20326169509946	295.4581729015068	326.3304288338603	283.37972651294416	303.1938048781826	276.46674292684975	288.4322011263707	308.2912953185702	239.94043603255787	248.21608060828567	262.5294381463003	302.7733657491716	321.9825195204923	209.12038223361023	13.0	go	raw	L	S1
315.1453708950019	295.5623965203797	326.3630506194744	283.10188917128124	302.75239059003485	277.0203039904927	288.5628478438475	308.38656901616554	239.99425635290586	247.78150122802194	262.9248932473368	303.56284250107007	322.1213889321737	208.61853085170935	14.0	go	raw	L	S1
315.45933291717137	295.66359395181144	326.44209838684816	282.998912721817	302.3925934336274	277.3864630186984	288.7276408463372	308.72144643418693	240.06058378812912	247.1158253755804	263.0170347752538	304.01000855415055	321.8415156549717	208.2390632274991	15.0	go	raw	L	S1
315.8184278467494	295.91315284270644	326.89076827957933	282.83877996028104	302.1903950697062	277.8615103332152	289.0054226533713	308.78816950169653	240.02963926145847	246.68299810589218	262.5175886069239	303.89335993259374	321.71421507609284	208.1451001501782	16.0	go	raw	L	S1
1.322394021362819	0.6499449188052207	0.5520084243621532	0.01445361496348741	0.39307596350296103	1.6961306082902994	0.5420834075243292	1.099578057238079	0.46125835145941657	-0.28217308338924696	0.7442156874442214	1.3796232578903667	0.7546260048471495	-0.08068693130767836	-3.0	go	hat	L	S1
1.4010644970367159	0.24108572100676892	0.17638931307043712	-1.012325926098935	-0.6447827128448198	1.1344179210468694	0.4478127156805723	0.32939558397267144	0.13078507199063805	-1.247903969167619	-0.08454714403189612	0.8439723866701825	-0.22218518012563115	-0.22631275217003707	-2.0	go	hat	L	S1
1.0598986501868686	-0.1916091294333631	-0.22904650825985157	-1.8925714887628446	-1.5239904042112602	0.23555715057548587	0.24017999603789658	-0.3701003457763531	-0.1960125592287496	-1.894923945095457	-0.7930300072878664	0.297899726125857	-1.0617632514932385	-0.38640221700953487	-1.0	go	hat	L	S1
0.43213047343255784	-0.6460181390395079	-0.7201666197388638	-2.9669709390277736	-1.9100965102608285	-0.6954534743104592	-0.3815408321877147	-0.987980772301444	-0.5006829990158936	-1.5413645012097321	-1.2241817671300725	-0.27898792879912027	-1.5000454025476677	-0.6304646661741445	0.0	go	hat	L	S1
