con	psc	condition	sn	roi	Hem	epoch
3.199298031545084	0.7954157359880542	50-50%	105	SPLa	L	plan
2.463756057811454	0.6081536666371745	25-75%	105	SPLa	L	plan
3.4162557142716983	0.8600286139818731	0-100%	105	SPLa	L	plan
5.272334409102173	1.3845727968881567	plan	105	SPLa	L	plan
3.1378079977486752	0.3855605364281641	exec	105	SPLa	L	plan
2.275465716863244	0.49982798365256687	100-0%	105	SPLp	L	plan
2.169126451656048	0.4725652271879756	75-25%	105	SPLp	L	plan
2.004840599512526	0.43061772658630937	50-50%	105	SPLp	L	plan
1.1876699938985926	0.25418803230953596	25-75%	105	SPLp	L	plan
2.0425570888345272	0.46494466429048664	0-100%	105	SPLp	L	plan
3.676033870736059	0.8540414424842645	plan	105	SPLp	L	plan
5.0997583375208215	0.7486330759556084	exec	105	SPLp	L	plan
3.0686135681831965	1.023902374706096	100-0%	105	SMA	R	plan
3.5732333511505545	1.1604499831292914	75-25%	105	SMA	R	plan
4.0842522875216885	1.3270170977055702	50-50%	105	SMA	R	plan
3.521446758667952	1.1750494653008123	25-75%	105	SMA	R	plan
3.809653187921757	1.2620388979455828	0-100%	105	SMA	R	plan
4.780684717969996	1.6335289322615911	plan	105	SMA	R	plan
7.123818623414938	1.1480010076014298	exec	105	SMA	R	plan
2.4832553486287843	0.8078898253955954	100-0%	105	PMd	R	plan
2.7643069602666746	0.901347167783707	75-25%	105	PMd	R	plan
2.9958014686050887	0.9793737693572511	50-50%	105	PMd	R	plan
2.756726725549159	0.8859622324583424	25-75%	105	PMd	R	plan
2.745755714687057	0.9014782082017421	0-100%	105	PMd	R	plan
4.689952329729965	1.6087483846010446	plan	105	PMd	R	plan
0.7192796121515574	0.09167448632347291	exec	105	PMd	R	plan
2.28887288430174	0.7243578539823369	100-0%	105	PMv	R	plan
1.725396549634457	0.5447414960925729	75-25%	105	PMv	R	plan
2.2448886392833614	0.7113444542977101	50-50%	105	PMv	R	plan
2.380185238310371	0.7396994708689071	25-75%	105	PMv	R	plan
2.173558277186027	0.6920992920417888	0-100%	105	PMv	R	plan
3.7924595881033945	1.2260691497287743	plan	105	PMv	R	plan
1.1034918617546445	0.17530027013935057	exec	105	PMv	R	plan
-0.2431996993196926	-0.06024379847000766	100-0%	105	M1	R	plan
-0.6455091744096638	-0.21124529677055506	75-25%	105	M1	R	plan
0.21423509785361858	0.0682059001489395	50-50%	105	M1	R	plan
0.08175739217802411	0.040537843951635164	25-75%	105	M1	R	plan
-0.04200678079547592	-0.0053142677106693325	0-100%	105	M1	R	plan
5.181549800827476	1.8141313858406105	plan	105	M1	R	plan
-2.8305928922675516	-0.5802242380094913	exec	105	M1	R	plan
-1.6598102470570542	-0.5425979313124152	100-0%	105	S1	R	plan
-1.761767878543893	-0.5763310809603336	75-25%	105	S1	R	plan
-1.3387800295421293	-0.4435227618188805	50-50%	105	S1	R	plan
-1.511729214911364	-0.4968932120130879	25-75%	105	S1	R	plan
-1.215493882331292	-0.42288892202729755	0-100%	105	S1	R	plan
0.9716228997603271	0.2918506650572789	plan	105	S1	R	plan
4.983009186524952	0.8061040949318287	exec	105	S1	R	plan
1.319997422488771	0.3489301071265115	100-0%	105	SPLa	R	plan
1.784628910537232	0.4880606591012928	75-25%	105	SPLa	R	plan
2.1627763268661835	0.5758323531968116	50-50%	105	SPLa	R	plan
