r_indiv	r_group	SNR	corr	glm	ci_lo	ci_hi	sigma2_1	sigma2_2	sigma2_e	Hem	roi	participant_id
0.5026256829277321	0.611243033846474	0.0918779352261444	plan-exec	12	0.48705594871633207	0.718179079076032	0.04346545357276116	0.26384023163222564	1.1655512944682274	L	S1	106
0.6036337714095461	0.611243033846474	0.12568935708433382	plan-exec	12	0.48705594871633207	0.718179079076032	0.11343872034069566	0.24963690188889678	1.3388642542501863	L	S1	107
0.3274780601147226	0.611243033846474	0.026895900591819125	plan-exec	12	0.48705594871633207	0.718179079076032	0.006994183351346195	0.15360381156597763	1.2186624001107882	L	S1	108
0.49001568853753996	0.611243033846474	0.0875954996025121	plan-exec	12	0.48705594871633207	0.718179079076032	0.052324699751384596	0.43332506554194483	1.719010320909135	L	S1	109
0.6278181994515303	0.611243033846474	0.22691235555162118	plan-exec	12	0.48705594871633207	0.718179079076032	0.14087397161410903	1.3466609248399157	1.9194922566600516	L	S1	110
1.0	0.611243033846474	0.10676309870090053	plan-exec	12	0.48705594871633207	0.718179079076032	0.04115851327356928	0.3019069968733272	1.044107602912635	L	S1	111
0.46849502845311464	0.611243033846474	0.049364283968704896	plan-exec	12	0.48705594871633207	0.718179079076032	0.02306621416598407	0.2749017595094892	1.6131103505950328	L	S1	112
0.2350723078665673	0.611243033846474	0.11835282814462127	plan-exec	12	0.48705594871633207	0.718179079076032	0.04930255871633783	0.9378376143590093	1.816853512613171	L	S1	113
0.5080173470261574	0.611243033846474	0.1113865044656774	plan-exec	12	0.48705594871633207	0.718179079076032	0.06802816798977558	0.3761032317987698	1.4360360591416361	L	S1	114
0.490915927786934	0.611243033846474	0.050310082422222874	plan-exec	12	0.48705594871633207	0.718179079076032	0.029081576229228984	0.0681240736786929	0.8847167445763182	L	S1	115
-0.9999999620180035	-0.8178643437179808	0.02685712937187163	cue-finger	12	-1.0	-0.6851485107020341	0.2680713304423091	0.027081066203069167	3.1724769336883143	L	M1	102
-0.6622888903154858	-0.8178643437179808	0.065152192734316	cue-finger	12	-1.0	-0.6851485107020341	0.1524769850651063	0.16872404832928373	2.461850096285429	L	M1	103
-0.8758732394264358	-0.8178643437179808	0.06258309252653146	cue-finger	12	-1.0	-0.6851485107020341	0.13634708365286657	0.1455944549976651	2.2513256750278563	L	M1	104
-0.999999982444762	-0.8178643437179808	0.03276322859456394	cue-finger	12	-1.0	-0.6851485107020341	0.12531755984096896	0.021839650865142935	1.5967690957413578	L	M1	105
