BN	TN	stimFinger	cue	MD	Unexpected	RT	thumb0	index0	middle0	ring0	pinkie0	thumb1	index1	middle1	ring1	pinkie1	GoNogo	sn
3	4	ring	0-100%	0.3372058866492264	0	0.1579999999999999	0.3058666666666667	0.0271773333333333	0.0801519999999999	0.436812	0.3453279999999999	1.0403100000000003	0.26633	5.1192	14.65403	2.08332	go	108
3	5	nogo	25-75%	0.0087124086318149	-1	-1.05	0.099496	-0.0636106666666666	0.2553559999999999	0.7708373333333333	0.2865146666666667	0.08221	-0.01789	0.33794	0.80536	0.1808	nogo	108
3	6	index	75-25%	0.1976777450031913	0	0.172	0.0720946666666666	0.2206293333333333	-0.2428053333333333	0.2365826666666667	0.7158066666666667	0.7459100000000001	15.819310000000003	1.4796699999999998	1.5729100000000005	0.3356099999999998	go	108
3	7	index	75-25%	0.3686528521786243	0	0.1559999999999999	0.1611386666666666	0.0325986666666666	-0.0601373333333333	0.033268	0.0578359999999999	0.3604699999999999	15.167939999999998	2.79169	1.93314	0.1151299999999999	go	108
3	8	ring	25-75%	0.4671546934725188	0	0.152	0.3475613333333334	0.0111279999999999	-0.00912	-0.0209186666666666	0.4746239999999999	0.69609	0.7423400000000002	5.31314	13.865000000000002	2.5830200000000003	go	108
3	9	index	75-25%	0.4712919351810237	0	0.176	0.2912986666666666	0.593932	0.6486466666666667	0.39806	0.1605386666666666	1.10659	16.370700000000003	4.55581	2.80157	0.03594	go	108
3	10	nogo	25-75%	0.1474196752712896	-1	-1.05	0.0457119999999999	0.7450333333333334	0.8934946666666664	0.3647026666666667	0.2110546666666666	0.1413	0.90152	1.08248	0.94568	0.2353199999999999	nogo	108
3	11	nogo	0-100%	0.0102527527418493	-1	-1.05	0.0176546666666666	0.3586439999999999	0.5771866666666666	0.1601	0.3002386666666667	0.03306	0.43744	0.6551700000000001	0.26174	0.37912	nogo	108
3	12	index	100-0%	0.2330374205843776	0	0.1659999999999999	-0.0704493333333333	0.6212	0.3465373333333333	-0.1317853333333333	0.043	0.8861100000000001	14.20358	1.97118	1.6577400000000002	0.0253199999999999	go	108
3	13	ring	25-75%	0.630346058009555	0	0.15	0.2541933333333333	0.6353333333333333	0.7793493333333334	0.0904559999999999	0.199436	0.71272	0.71438	5.48295	13.83972	1.79273	go	108
3	14	index	100-0%	0.2799816144215998	0	0.15	-0.0587333333333333	-0.0045586666666667	-0.285428	-0.3003506666666666	0.0569786666666666	0.5342600000000001	16.2869	2.33322	1.82643	-0.0545999999999999	go	108
3	15	nogo	0-100%	0.0145424962803671	-1	-1.05	-0.0300773333333333	0.0833466666666666	0.464888	0.2390239999999999	0.2960946666666667	0.01011	0.27933	0.5413	0.32221	0.26497	nogo	108
3	16	index	100-0%	0.5560787567964508	0	0.1599999999999999	-0.0578573333333333	0.3660586666666666	0.174704	-0.3196013333333333	0.2339546666666666	0.21037	15.61438	1.4694999999999996	1.7795099999999997	0.06065	go	108
3	17	index	25-75%	0.8885131988116675	1	0.1659999999999999	0.2070133333333333	0.2052093333333333	0.0590546666666666	-0.0576986666666666	0.0947453333333333	0.6124	14.18148	2.5909599999999995	3.1394900000000003	-0.01489	go	108
3	18	index	50-50%	0.5838079230152867	0	0.1679999999999999	0.29608	0.4812066666666666	0.8806440000000001	-0.0471026666666666	-0.0009666666666666	0.36172	15.48975	3.82874	2.7691900000000005	-0.3405899999999999	go	108
3	19	ring	50-50%	0.8793318132389001	0	0.178	0.3899399999999999	0.4133973333333333	-0.2545626666666667	0.746868	0.1767706666666666	0.9870299999999996	3.1465500000000004	3.21862	13.191689999999996	2.40398	go	108
3	20	ring	0-100%	0.4796741091932313	0	0.176	0.108848	0.055968	0.1425119999999999	0.2271533333333333	0.3219146666666667	1.5438899999999998	1.3061299999999998	5.34018	13.8136	2.5912400000000004	go	108
3	21	ring	50-50%	1.1156670017956294	0	0.1679999999999999	0.3581453333333333	0.285632	-0.2140306666666667	0.5335533333333333	0.5109506666666667	0.7859199999999998	2.84322	4.115350000000001	12.362780000000004	2.6957400000000007	go	108
3	22	nogo	50-50%	0.0166395018148777	-1	-1.05	0.1163266666666666	0.2336213333333333	0.5100226666666666	0.7869626666666666	0.6156093333333333	0.15076	0.4806700000000001	0.6327200000000001	0.8698800000000001	0.6812400000000001	nogo	108
3	23	index	50-50%	0.3754918401866066	0	0.148	0.0225973333333333	-0.0273346666666666	0.0866746666666666	-0.2189586666666666	0.244332	0.75251	15.11877	2.03672	1.9000600000000003	0.03121	go	108
3	24	ring	25-75%	0.5763709115268341	0	0.1639999999999999	0.0652773333333333	0.0626	0.5019906666666667	0.3043493333333333	0.0138693333333333	0.6096499999999999	0.6077999999999999	6.5049600000000005	14.28627	2.76327	go	108
3	25	nogo	100-0%	0.0196091168218114	-1	-1.05	-0.0407786666666666	0.2528213333333334	0.4220746666666666	-0.1684466666666666	0.268876	-0.0373899999999999	0.32266	0.39923	-0.15031	0.30928	nogo	108
3	26	index	100-0%	0.2619757895883926	0	0.1559999999999999	0.0136213333333333	0.1282053333333333	0.1263293333333333	-0.2312893333333333	0.2210706666666666	0.5619200000000001	16.59648	2.2973600000000003	1.4022400000000004	0.20064	go	108
3	27	nogo	100-0%	0.013516542358744	-1	-1.05	0.0135119999999999	0.2196626666666666	0.6176386666666667	-0.0732746666666666	0.1043746666666666	0.00302	0.3767800000000001	0.6213000000000001	-0.0639499999999999	0.1522599999999999	nogo	108
3	28	ring	0-100%	0.2994549313142928	0	0.134	-0.0511693333333333	-0.20572	0.4338706666666667	0.4066826666666666	0.19888	0.40451	0.21879	4.12856	13.43651	3.0313200000000005	go	108
3	29	nogo	75-25%	0.0063503577113454	-1	-1.05	0.3264413333333333	0.1071706666666666	-0.5615546666666666	0.3259053333333333	0.6428959999999999	0.2837699999999999	0.21959	-0.51807	0.32315	0.49596	nogo	108
3	30	nogo	50-50%	0.0161337223215675	-1	-1.05	0.3399	0.3046	-0.3185253333333333	0.3092533333333333	0.3255933333333333	0.3090099999999999	0.3567899999999999	-0.23525	0.49746	0.2161	nogo	108
4	1	nogo	50-50%	0.0123019098706927	-1	-1.05	-0.1280226666666666	0.484212	0.3436266666666667	0.4375413333333333	0.3003373333333333	-0.1102699999999999	0.5434700000000001	0.3759300000000001	0.45785	0.19508	nogo	108
4	2	index	50-50%	0.2697215080855936	0	0.1639999999999999	0.121964	0.4011666666666666	-0.050976	0.0348466666666666	-0.0295293333333333	0.49076	16.576700000000002	2.50678	1.9389100000000008	0.26611	go	108
4	3	ring	0-100%	0.3706560360191694	0	0.242	0.0675773333333333	0.503212	1.045636	0.6643666666666665	0.134072	0.5126799999999999	1.1638500000000005	3.14488	9.41675	1.93239	go	108
4	4	ring	75-25%	2.2200873828292966	1	0.1699999999999999	0.002824	0.293856	0.7387920000000001	0.7095559999999999	0.4736786666666667	0.3111299999999999	4.9650300000000005	3.0878800000000006	11.06181	1.84014	go	108
4	5	index	75-25%	0.61810974123652	0	0.1539999999999999	0.0366413333333333	0.3380293333333333	0.3170733333333333	0.5907173333333333	0.468984	1.3117500000000002	17.93228	5.138629999999999	2.81195	0.5617599999999999	go	108
4	6	nogo	25-75%	0.0350033286389074	-1	-1.05	-0.0962493333333333	0.4817359999999999	0.959692	0.361244	0.1987613333333333	-0.1006799999999999	0.59299	1.03264	0.4522300000000001	0.22754	nogo	108
4	7	ring	25-75%	1.2289326110595111	0	0.1579999999999999	-0.0451053333333333	0.17524	0.5845533333333334	0.1979759999999999	0.1987853333333333	0.18825	2.18018	5.629059999999999	14.293359999999998	3.75203	go	108
4	8	index	100-0%	0.4018321257020902	0	0.142	-0.199932	0.6061439999999999	0.5571586666666666	0.2689786666666667	0.2408506666666666	0.00799	16.404230000000002	3.5494600000000003	1.3199200000000002	-0.08347	go	108
4	9	ring	25-75%	0.7289831644297052	0	0.1599999999999999	-0.1211813333333333	0.3812386666666666	0.6041506666666666	0.2552053333333333	0.0945026666666666	0.12733	1.2618699999999998	6.1388500000000015	14.76508	4.09998	go	108
4	10	nogo	0-100%	0.0088553574213068	-1	-1.05	-0.1528159999999999	-0.0664826666666666	0.8532586666666666	0.3804866666666667	0.029112	-0.1662199999999999	-0.0408099999999999	0.94355	0.6527600000000001	0.06148	nogo	108
4	11	ring	0-100%	0.3144051068192461	0	0.1639999999999999	-0.1321146666666666	0.0492906666666666	0.9129466666666668	0.376928	0.1772893333333333	0.7325	0.4269399999999999	6.428179999999999	13.626229999999998	2.6636	go	108
4	12	index	100-0%	0.4292656583918217	0	0.1539999999999999	-0.0708693333333333	0.493668	1.3778693333333332	0.1734453333333333	0.135356	0.33705	17.22868	3.61216	1.6551299999999998	-0.12463	go	108
4	13	index	100-0%	0.3600026655863653	0	0.1659999999999999	-0.07374	0.4868333333333333	1.144364	0.2360173333333333	0.1666773333333333	0.72102	15.72515	3.175579999999999	1.1368	-0.0458199999999999	go	108
4	14	index	75-25%	0.9598747088126444	0	0.144	0.3858413333333333	0.2403346666666666	0.8581519999999999	0.0325266666666666	0.22432	0.86826	14.89297	3.4294800000000003	2.7637000000000005	0.03651	go	108
4	15	nogo	25-75%	0.0099390013201078	-1	-1.05	-0.2462933333333333	0.51182	1.39178	0.518204	0.0351813333333333	-0.25295	0.7254200000000001	1.3934699999999998	0.53351	0.02954	nogo	108
4	16	index	75-25%	0.9601578058452404	0	0.1599999999999999	-0.1252466666666666	0.488344	0.7471173333333334	0.7247866666666667	0.1435679999999999	0.62668	16.41319	3.41399	2.9745599999999994	-0.1514	go	108
4	17	ring	50-50%	0.8508495492590773	0	0.146	-0.2278079999999999	0.607176	1.4398093333333333	-0.0276333333333333	-0.0296973333333333	-0.26653	1.2831199999999998	5.761749999999999	14.25404	3.90087	go	108
4	18	ring	0-100%	0.5142492431503517	0	0.192	0.109072	0.3768	0.7118533333333334	0.0257826666666666	-0.1259613333333333	0.7155400000000001	1.29126	7.423090000000001	13.26433	2.35362	go	108
4	19	nogo	75-25%	0.0103953863846968	-1	-1.05	-0.350428	0.3307013333333333	0.1578106666666666	0.4033906666666667	0.0861653333333333	-0.3205200000000001	0.42613	0.18697	0.43306	0.0633	nogo	108
4	20	ring	50-50%	0.6643750675472447	0	0.15	-0.262844	0.3231786666666666	0.1918146666666667	0.129632	0.0739266666666666	0.36283	0.98632	5.89543	13.2059	2.5233000000000003	go	108
4	21	ring	25-75%	0.58062013487601	0	0.1579999999999999	-0.3592413333333332	0.5463106666666666	1.0384466666666667	0.537652	0.0325453333333333	-0.0239299999999999	0.74942	5.671089999999998	13.73091	2.5052800000000004	go	108
4	22	nogo	100-0%	0.0082053501971675	-1	-1.05	-0.3113333333333333	0.471668	0.8058373333333332	-0.1544039999999999	0.0860813333333333	-0.3044	0.5364000000000001	0.79789	-0.1542899999999999	0.0419299999999999	nogo	108
4	23	nogo	100-0%	0.0190792364413786	-1	-1.05	-0.300304	0.7279440000000001	0.6878613333333333	0.0733826666666666	0.052344	-0.30131	0.7997900000000002	0.6950299999999998	0.07664	0.0825299999999999	nogo	108
4	24	nogo	75-25%	0.0085608386701509	-1	-1.05	-0.3084506666666667	0.5321373333333332	0.7924626666666668	0.0945813333333333	0.0812613333333333	-0.31248	0.5769900000000001	0.7926100000000003	0.09576	0.11187	nogo	108
4	25	index	25-75%	0.7403698830899624	1	0.1619999999999999	-0.2638933333333333	0.1838333333333333	0.6514493333333332	0.4285186666666666	0.0785546666666666	0.63287	18.74605	4.81678	2.56244	-0.22159	go	108
4	26	index	50-50%	1.774896063506684	0	0.1619999999999999	-0.1148573333333333	1.0113866666666669	1.3068333333333333	-0.0321146666666666	0.0240853333333333	0.4787100000000001	16.03018	6.110379999999999	4.4295800000000005	0.1873299999999999	go	108
4	27	nogo	0-100%	0.0161105786462175	-1	-1.05	-0.516696	0.1414253333333333	0.8503706666666667	0.103196	0.0677226666666666	-0.5142500000000001	0.24155	0.90955	0.24435	0.0873	nogo	108
4	28	ring	0-100%	0.3229041989348361	0	0.24	-0.5081720000000001	0.0007466666666666	0.8852546666666667	0.6897493333333333	0.2659653333333333	-0.2118799999999999	0.58762	2.2840799999999994	9.382420000000002	1.64911	go	108
4	29	nogo	50-50%	0.0186688132768873	-1	-1.05	-0.2624399999999999	0.2710813333333334	0.4135746666666667	0.3938706666666667	0.304372	-0.27711	0.4757399999999998	0.4598	0.4188999999999999	0.32156	nogo	108
4	30	index	100-0%	0.4560773408727771	0	0.1539999999999999	-0.3826813333333332	0.2961866666666666	0.6115866666666666	0.385968	0.0989413333333333	-0.2523299999999999	19.60243	4.16247	1.28576	-0.4138400000000001	go	108
5	1	index	50-50%	0.5599428219797836	0	0.148	0.2363733333333333	0.1554146666666666	0.0701866666666666	0.1246266666666666	0.0018213333333333	0.75414	15.615520000000002	3.2906800000000005	1.7136000000000002	-0.3481899999999999	go	108
5	2	index	100-0%	0.538538200840751	0	0.1539999999999999	0.257404	0.2358266666666666	0.0388906666666666	0.295856	-0.0912106666666666	0.98117	16.12707	1.4082199999999998	1.27991	-0.34857	go	108
5	3	nogo	25-75%	0.0231748878923767	-1	-1.05	0.0769813333333333	0.3631266666666667	0.1359733333333333	0.5972733333333333	-0.055	0.0780599999999999	0.37382	0.15138	0.5246000000000001	-0.1014899999999999	nogo	108
5	4	ring	25-75%	0.3104333301979524	0	0.22	0.5440453333333334	0.1949506666666666	0.038544	0.5104026666666667	-0.050756	1.5182	0.56572	2.4303800000000004	10.8138	1.8244300000000004	go	108
5	5	nogo	75-25%	0.0114676260219718	-1	-1.05	0.023344	0.4366586666666667	-0.4397666666666667	0.4909773333333334	0.2559466666666666	0.03013	0.5380400000000001	-0.43432	0.4289699999999999	0.2359	nogo	108
5	6	index	100-0%	0.4452240710418902	0	0.1659999999999999	0.050688	0.3971053333333332	-0.7514599999999999	0.0906439999999999	0.3063373333333333	0.7573599999999999	16.564239999999998	1.25665	1.66772	0.2680100000000001	go	108
5	7	index	75-25%	0.2145331684620853	0	0.1559999999999999	0.8099853333333332	0.5792653333333333	-0.8196533333333333	0.923056	0.2139546666666666	1.6718799999999996	19.33148	-0.53867	2.49434	-0.16027	go	108
5	8	index	100-0%	0.42395837576538	0	0.1579999999999999	0.1192506666666666	0.65584	-0.8125600000000001	1.0489013333333332	0.2826173333333333	0.8483600000000001	16.182760000000002	0.22053	2.13148	0.2138499999999999	go	108
5	9	index	75-25%	0.3642525420557987	0	0.1659999999999999	0.0804013333333333	0.596188	-0.5607466666666667	0.7045373333333333	0.4284293333333333	1.01367	15.071440000000004	0.6861200000000001	1.7510800000000004	0.08557	go	108
5	10	ring	50-50%	0.6336182775102991	0	0.182	0.1966826666666666	0.8127093333333333	0.2124533333333333	0.9712586666666666	0.1967946666666666	1.3507399999999996	2.18137	2.40931	12.52068	2.76452	go	108
5	11	ring	50-50%	2.1584665334019157	0	0.1619999999999999	0.029092	0.1400133333333333	-0.3249039999999999	0.3069293333333333	0.282248	0.39469	4.444049999999999	4.37745	11.913950000000002	2.0556	go	108
