con	condition	sn	roi	Hem	epoch
4.699228636370043	100-0%,index	104	PMv	L	exec
0.4156286470920139	0-100%	104	M1	L	plan
0.2826177813875028	25-75%	104	M1	L	plan
-2.749502561076356	50-50%	104	M1	L	plan
-1.206289454591767	75-25%	104	M1	L	plan
-0.43893936819320684	100-0%	104	M1	L	plan
12.574966365159936	0-100%,ring	104	M1	L	exec
11.484656950049565	25-75%,index	104	M1	L	exec
9.791960389259705	50-50%,index	104	M1	L	exec
12.267024752243133	75-25%,index	104	M1	L	exec
11.539640579372644	25-75%,ring	104	M1	L	exec
11.287749602126283	50-50%,ring	104	M1	L	exec
10.891702753090668	75-25%,ring	104	M1	L	exec
10.449886789174213	100-0%,index	104	M1	L	exec
-1.8445265497169856	0-100%	104	S1	L	plan
-0.8755619628965914	25-75%	104	S1	L	plan
-3.342049870665961	50-50%	104	S1	L	plan
-1.7095393735434485	75-25%	104	S1	L	plan
-1.0166127211701266	100-0%	104	S1	L	plan
15.047213729316596	0-100%,ring	104	S1	L	exec
15.621769703250697	25-75%,index	104	S1	L	exec
13.194746849710347	50-50%,index	104	S1	L	exec
15.00960708618401	75-25%,index	104	S1	L	exec
12.746928218505891	25-75%,ring	104	S1	L	exec
13.179425924375773	50-50%,ring	104	S1	L	exec
13.587454889390306	75-25%,ring	104	S1	L	exec
12.748434082991915	100-0%,index	104	S1	L	exec
3.6084942956337374	0-100%	104	SPLa	L	plan
4.264039606708182	25-75%	104	SPLa	L	plan
2.4149830283255542	50-50%	104	SPLa	L	plan
2.9989799292692485	75-25%	104	SPLa	L	plan
3.7836965944705483	100-0%	104	SPLa	L	plan
6.120097288418925	0-100%,ring	104	SPLa	L	exec
9.673464960791339	25-75%,index	104	SPLa	L	exec
6.077544725457141	50-50%,index	104	SPLa	L	exec
7.956336970459763	75-25%,index	104	SPLa	L	exec
4.46446107582987	25-75%,ring	104	SPLa	L	exec
5.6508633241178545	50-50%,ring	104	SPLa	L	exec
8.74745168834807	75-25%,ring	104	SPLa	L	exec
6.730817390835483	100-0%,index	104	SPLa	L	exec
4.316285580228823	0-100%	104	SPLp	L	plan
4.91395395235467	25-75%	104	SPLp	L	plan
2.5581124948090888	50-50%	104	SPLp	L	plan
4.844685457572114	75-25%	104	SPLp	L	plan
5.476384411920129	100-0%	104	SPLp	L	plan
6.900430876689696	0-100%,ring	104	SPLp	L	exec
12.906787676207886	25-75%,index	104	SPLp	L	exec
9.417831823672246	50-50%,index	104	SPLp	L	exec
9.69281640001323	75-25%,index	104	SPLp	L	exec
7.168592469027848	25-75%,ring	104	SPLp	L	exec
7.981384676706328	50-50%,ring	104	SPLp	L	exec
11.786203880705107	75-25%,ring	104	SPLp	L	exec
8.385198965712748	100-0%,index	104	SPLp	L	exec
-0.2069020690391164	0-100%	104	V1	L	plan
0.6592847035363923	25-75%	104	V1	L	plan
0.6033568806285688	50-50%	104	V1	L	plan
0.9721534329441837	75-25%	104	V1	L	plan
